sku,brand,product_name,category,colour,description,image_filename,alt_text,price_zar,stock_quantity,status
1145-D001-BR-STONE,1145,Racerback Sports Bra – 1145,bra,Stone,Racerback sports bra with a wide underband and a small 1145 chest emblem. Support and fit subject to sample testing.,1145_bra_stone_front.png,"Racerback Sports Bra by 1145 in stone, front view",749,,DRAFT
1145-D001-BR-RED,1145,Racerback Sports Bra – 1145,bra,Red,Racerback sports bra with a wide underband and a small 1145 chest emblem. Support and fit subject to sample testing.,1145_bra_red_front.png,"Racerback Sports Bra by 1145 in red, front view",749,,DRAFT
1145-D001-BR-NAVY,1145,Racerback Sports Bra – 1145,bra,Navy,Racerback sports bra with a wide underband and a small 1145 chest emblem. Support and fit subject to sample testing.,1145_bra_navy_front.png,"Racerback Sports Bra by 1145 in navy, front view",749,,DRAFT
1145-D001-BR-BLACK,1145,Racerback Sports Bra – 1145,bra,Black,Racerback sports bra with a wide underband and a small 1145 chest emblem. Support and fit subject to sample testing.,1145_bra_black_front.png,"Racerback Sports Bra by 1145 in black, front view",749,,DRAFT
1145-D001-BR-WHITE,1145,Racerback Sports Bra – 1145,bra,White,Racerback sports bra with a wide underband and a small 1145 chest emblem. Support and fit subject to sample testing.,1145_bra_white_front.png,"Racerback Sports Bra by 1145 in white, front view",749,,DRAFT
1145-D001-LG-STONE,1145,High-Rise Training Legging – 1145,legging,Stone,"High-rise training legging with a discreet 1145 hip emblem. Opacity, fabric and inseam subject to sample testing.",1145_legging_stone_front.png,"High-Rise Training Legging by 1145 in stone, front view",999,,DRAFT
1145-D001-LG-RED,1145,High-Rise Training Legging – 1145,legging,Red,"High-rise training legging with a discreet 1145 hip emblem. Opacity, fabric and inseam subject to sample testing.",1145_legging_red_front.png,"High-Rise Training Legging by 1145 in red, front view",999,,DRAFT
1145-D001-LG-NAVY,1145,High-Rise Training Legging – 1145,legging,Navy,"High-rise training legging with a discreet 1145 hip emblem. Opacity, fabric and inseam subject to sample testing.",1145_legging_navy_front.png,"High-Rise Training Legging by 1145 in navy, front view",999,,DRAFT
1145-D001-LG-BLACK,1145,High-Rise Training Legging – 1145,legging,Black,"High-rise training legging with a discreet 1145 hip emblem. Opacity, fabric and inseam subject to sample testing.",1145_legging_black_front.png,"High-Rise Training Legging by 1145 in black, front view",999,,DRAFT
1145-D001-LG-WHITE,1145,High-Rise Training Legging – 1145,legging,White,"High-rise training legging with a discreet 1145 hip emblem. Opacity, fabric and inseam subject to sample testing.",1145_legging_white_front.png,"High-Rise Training Legging by 1145 in white, front view",999,,DRAFT
1145-D001-CP-STONE,1145,Emblem Baseball Cap – 1145,cap,Stone,Curved-brim adjustable cap with a small 1145 front emblem. Closure and material subject to sample approval.,1145_cap_stone_front.png,"Emblem Baseball Cap by 1145 in stone, front view",549,,DRAFT
1145-D001-CP-RED,1145,Emblem Baseball Cap – 1145,cap,Red,Curved-brim adjustable cap with a small 1145 front emblem. Closure and material subject to sample approval.,1145_cap_red_front.png,"Emblem Baseball Cap by 1145 in red, front view",549,,DRAFT
1145-D001-CP-NAVY,1145,Emblem Baseball Cap – 1145,cap,Navy,Curved-brim adjustable cap with a small 1145 front emblem. Closure and material subject to sample approval.,1145_cap_navy_front.png,"Emblem Baseball Cap by 1145 in navy, front view",549,,DRAFT
1145-D001-CP-BLACK,1145,Emblem Baseball Cap – 1145,cap,Black,Curved-brim adjustable cap with a small 1145 front emblem. Closure and material subject to sample approval.,1145_cap_black_front.png,"Emblem Baseball Cap by 1145 in black, front view",549,,DRAFT
1145-D001-CP-WHITE,1145,Emblem Baseball Cap – 1145,cap,White,Curved-brim adjustable cap with a small 1145 front emblem. Closure and material subject to sample approval.,1145_cap_white_front.png,"Emblem Baseball Cap by 1145 in white, front view",549,,DRAFT
1145-D001-TS-STONE,1145,Zip-Up Tracksuit Set – 1145,tracksuit,Stone,Matching zip-up jacket and tapered track pants with subtle 1145 branding. Top and bottom sizing subject to sample approval.,1145_tracksuit_stone_front.png,"Zip-Up Tracksuit Set by 1145 in stone, front view",2799,,DRAFT
1145-D001-TS-RED,1145,Zip-Up Tracksuit Set – 1145,tracksuit,Red,Matching zip-up jacket and tapered track pants with subtle 1145 branding. Top and bottom sizing subject to sample approval.,1145_tracksuit_red_front.png,"Zip-Up Tracksuit Set by 1145 in red, front view",2799,,DRAFT
1145-D001-TS-NAVY,1145,Zip-Up Tracksuit Set – 1145,tracksuit,Navy,Matching zip-up jacket and tapered track pants with subtle 1145 branding. Top and bottom sizing subject to sample approval.,1145_tracksuit_navy_front.png,"Zip-Up Tracksuit Set by 1145 in navy, front view",2799,,DRAFT
1145-D001-TS-BLACK,1145,Zip-Up Tracksuit Set – 1145,tracksuit,Black,Matching zip-up jacket and tapered track pants with subtle 1145 branding. Top and bottom sizing subject to sample approval.,1145_tracksuit_black_front.png,"Zip-Up Tracksuit Set by 1145 in black, front view",2799,,DRAFT
1145-D001-TS-WHITE,1145,Zip-Up Tracksuit Set – 1145,tracksuit,White,Matching zip-up jacket and tapered track pants with subtle 1145 branding. Top and bottom sizing subject to sample approval.,1145_tracksuit_white_front.png,"Zip-Up Tracksuit Set by 1145 in white, front view",2799,,DRAFT
1145-D001-HD-STONE,1145,Essential Pullover Hoodie – 1145,hoodie,Stone,Pullover hoodie with a front pouch pocket and a small 1145 chest emblem. Fabric weight and fit subject to sample approval.,1145_hoodie_stone_front.png,"Essential Pullover Hoodie by 1145 in stone, front view",1499,,DRAFT
1145-D001-HD-RED,1145,Essential Pullover Hoodie – 1145,hoodie,Red,Pullover hoodie with a front pouch pocket and a small 1145 chest emblem. Fabric weight and fit subject to sample approval.,1145_hoodie_red_front.png,"Essential Pullover Hoodie by 1145 in red, front view",1499,,DRAFT
1145-D001-HD-NAVY,1145,Essential Pullover Hoodie – 1145,hoodie,Navy,Pullover hoodie with a front pouch pocket and a small 1145 chest emblem. Fabric weight and fit subject to sample approval.,1145_hoodie_navy_front.png,"Essential Pullover Hoodie by 1145 in navy, front view",1499,,DRAFT
1145-D001-HD-BLACK,1145,Essential Pullover Hoodie – 1145,hoodie,Black,Pullover hoodie with a front pouch pocket and a small 1145 chest emblem. Fabric weight and fit subject to sample approval.,1145_hoodie_black_front.png,"Essential Pullover Hoodie by 1145 in black, front view",1499,,DRAFT
